#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan --nproc 16 --input_type fastq CS1_lane1.unmapped_1.fastq.gz,CS1_lane1.unmapped_2.fastq.gz --bowtie2out CS1_lane1_db1.metaphlan.bowtie2out.txt --bowtie2db mpaDB --index mpa_vJan25_CHOCOPhlAnSGB_202503 --biom CS1_lane1_db1.metaphlan.biom --output_file CS1_lane1_db1.metaphlan_profile.txt
#108916234 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Archaea	2157	78.32826	
k__Bacteria	2	21.67174	
k__Archaea|p__Nitrososphaerota	2157|651137	78.32826	
k__Bacteria|p__Actinomycetota	2|201174	10.14288	
k__Bacteria|p__Pseudomonadota	2|1224	5.97588	
k__Bacteria|p__Nitrospirota	2|40117	2.58691	
k__Bacteria|p__Firmicutes	2|1239	0.80649	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.69664	
k__Bacteria|p__Chloroflexota	2|200795	0.49021	
k__Bacteria|p__Gemmatimonadota	2|142182	0.45234	
k__Bacteria|p__Acidobacteriota	2|57723	0.40107	
k__Bacteria|p__Cyanobacteriota	2|1117	0.11498	
k__Bacteria|p__Myxococcota	2|2818505	0.00433	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria	2157|651137|1643678	62.55847	
k__Archaea|p__Nitrososphaerota|c__CFGB659	2157|651137|	15.63377	
k__Bacteria|p__Actinomycetota|c__CFGB33437	2|201174|	7.04276	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	3.68164	
k__Bacteria|p__Nitrospirota|c__Nitrospiria	2|40117|203693	2.58691	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	1.33652	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia	2|201174|1497346	1.32771	
k__Bacteria|p__Actinomycetota|c__Rubrobacteria	2|201174|84995	1.0438	
k__Bacteria|p__Pseudomonadota|c__CFGB81559	2|1224|	0.81785	
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB49326	2|200940|	0.69664	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.66402	
k__Bacteria|p__Chloroflexota|c__CFGB81317	2|200795|	0.49021	
k__Bacteria|p__Actinomycetota|c__CFGB52786	2|201174|	0.44927	
k__Bacteria|p__Acidobacteriota|c__CFGB72794	2|57723|	0.40107	
k__Bacteria|p__Gemmatimonadota|c__CFGB44871	2|142182|	0.28625	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.23937	
k__Bacteria|p__Gemmatimonadota|c__CFGB49881	2|142182|	0.16609	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.14246	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae	2|1117|3028117	0.11498	
k__Archaea|p__Nitrososphaerota|c__CFGB52473	2157|651137|	0.11419	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.08783	
k__Bacteria|p__Pseudomonadota|c__CFGB52626	2|1224|	0.05205	
k__Bacteria|p__Actinomycetota|c__CFGB44081	2|201174|	0.03834	
k__Archaea|p__Nitrososphaerota|c__CFGB49577	2157|651137|	0.02183	
k__Bacteria|p__Myxococcota|c__Myxococcia	2|2818505|32015	0.00433	
k__Bacteria|p__Actinomycetota|c__CFGB10042	2|201174|	0.00095	
k__Bacteria|p__Actinomycetota|c__CFGB80915	2|201174|	0.00067	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales	2157|651137|1643678|1033996	62.55847	
k__Archaea|p__Nitrososphaerota|c__CFGB659|o__OFGB659	2157|651137||	15.63377	
k__Bacteria|p__Actinomycetota|c__CFGB33437|o__OFGB33437	2|201174||	7.04276	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	3.67479	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales	2|40117|203693|189778	2.58691	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Gaiellales	2|201174|1497346|1154584	1.32771	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	1.30947	
k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	1.0438	
k__Bacteria|p__Pseudomonadota|c__CFGB81559|o__OFGB81559	2|1224||	0.81785	
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB49326|o__OFGB49326	2|200940||	0.69664	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.66402	
k__Bacteria|p__Chloroflexota|c__CFGB81317|o__OFGB81317	2|200795||	0.49021	
k__Bacteria|p__Actinomycetota|c__CFGB52786|o__OFGB52786	2|201174||	0.44927	
k__Bacteria|p__Acidobacteriota|c__CFGB72794|o__OFGB72794	2|57723||	0.40107	
k__Bacteria|p__Gemmatimonadota|c__CFGB44871|o__OFGB44871	2|142182||	0.28625	
k__Bacteria|p__Gemmatimonadota|c__CFGB49881|o__OFGB49881	2|142182||	0.16609	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.14246	
k__Archaea|p__Nitrososphaerota|c__CFGB52473|o__OFGB52473	2157|651137||	0.11419	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales	2|201174|1760|85011	0.09266	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales	2|1224|1236|118969	0.08783	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales	2|1117|3028117|1161	0.07215	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.05695	
k__Bacteria|p__Pseudomonadota|c__CFGB52626|o__OFGB52626	2|1224||	0.05205	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Pleurocapsales	2|1117|3028117|52604	0.04283	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales	2|201174|1760|85008	0.03967	
k__Bacteria|p__Actinomycetota|c__CFGB44081|o__OFGB44081	2|201174||	0.03834	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	0.02445	
k__Archaea|p__Nitrososphaerota|c__CFGB49577|o__OFGB49577	2157|651137||	0.02183	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.01971	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales	2|201174|1760|85012	0.01468	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales	2|201174|1760|85010	0.01096	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sneathiellales	2|1224|28211|510684	0.00734	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00684	
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	2|2818505|32015|29	0.00433	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042	2|201174||	0.00095	
k__Bacteria|p__Actinomycetota|c__CFGB80915|o__OFGB80915	2|201174||	0.00067	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	2157|651137|1643678|1033996|	56.30173	
k__Archaea|p__Nitrososphaerota|c__CFGB659|o__OFGB659|f__FGB659	2157|651137|||	15.63377	
k__Bacteria|p__Actinomycetota|c__CFGB33437|o__OFGB33437|f__FGB33437	2|201174|||	7.04276	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae	2157|651137|1643678|1033996|1033997	6.25674	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified	2|1224|28216||	3.67479	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae	2|40117|203693|189778|189779	2.58691	
k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Gaiellales|f__Gaiellaceae	2|201174|1497346|1154584|1154585	1.32771	
k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	2|201174|84995|84996|84997	1.0438	
k__Bacteria|p__Pseudomonadota|c__CFGB81559|o__OFGB81559|f__FGB81559	2|1224|||	0.81785	
k__Bacteria|p__Thermodesulfobacteriota|c__CFGB49326|o__OFGB49326|f__FGB49326	2|200940|||	0.69664	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae	2|1224|28211|356|82115	0.68452	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.56633	
k__Bacteria|p__Chloroflexota|c__CFGB81317|o__OFGB81317|f__FGB81317	2|200795|||	0.49021	
k__Bacteria|p__Actinomycetota|c__CFGB52786|o__OFGB52786|f__FGB52786	2|201174|||	0.44927	
k__Bacteria|p__Acidobacteriota|c__CFGB72794|o__OFGB72794|f__FGB72794	2|57723|||	0.40107	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiaceae	2|1224|28211|356|45401	0.39471	
k__Bacteria|p__Gemmatimonadota|c__CFGB44871|o__OFGB44871|f__FGB44871	2|142182|||	0.28625	
k__Bacteria|p__Gemmatimonadota|c__CFGB49881|o__OFGB49881|f__FGB49881	2|142182|||	0.16609	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.14246	
k__Archaea|p__Nitrososphaerota|c__CFGB52473|o__OFGB52473|f__FGB52473	2157|651137|||	0.11419	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae	2|1224|28211|356|41294	0.09927	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae	2|1239|91061|1385|186824	0.09769	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae	2|201174|1760|85011|2062	0.09266	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	2|1224|1236|118969|444	0.08783	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aestuariivirgaceae	2|1224|28211|356|2650922	0.0763	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae	2|1117|3028117|1161|1162	0.07215	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae	2|201174|1760|85006|85023	0.05695	
k__Bacteria|p__Pseudomonadota|c__CFGB52626|o__OFGB52626|f__FGB52626	2|1224|||	0.05205	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Methylobacteriaceae	2|1224|28211|356|119045	0.04791	
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Pleurocapsales|f__Dermocarpellaceae	2|1117|3028117|52604|1890498	0.04283	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micromonosporales|f__Micromonosporaceae	2|201174|1760|85008|28056	0.03967	
k__Bacteria|p__Actinomycetota|c__CFGB44081|o__OFGB44081|f__FGB44081	2|201174|||	0.03834	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Nocardioidaceae	2|201174|1760|85009|85015	0.02445	
k__Archaea|p__Nitrososphaerota|c__CFGB49577|o__OFGB49577|f__FGB49577	2157|651137|||	0.02183	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Azospirillaceae	2|1224|28211|204441|2829815	0.01971	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Streptosporangiaceae	2|201174|1760|85012|2004	0.01468	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Pseudonocardiales|f__Pseudonocardiaceae	2|201174|1760|85010|2070	0.01096	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae	2|1224|28211|510684|510685	0.00734	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Hyphomicrobiales_unclassified	2|1224|28211|356|	0.0064	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	2|1224|28216|80840|119060	0.00623	
k__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales|f__Myxococcaceae	2|2818505|32015|29|31	0.00433	
k__Bacteria|p__Actinomycetota|c__CFGB10042|o__OFGB10042|f__FGB10042	2|201174|||	0.00095	
k__Bacteria|p__Actinomycetota|c__CFGB80915|o__OFGB80915|f__FGB80915	2|201174|||	0.00067	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	0.00062	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Reyranellaceae	2|1224|28211|356|2844375	0.00035	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__Nitrososphaerales_unclassified	2157|651137|1643678|1033996||	46.78204	
k__Archaea|p__Nitrososphaerota|c__CFGB659|o__OFGB659|f__FGB659|g__GGB53662	2157|651137||||	15.04241	
k__Bacteria|p__Actinomycetota|c__CFGB33437|o__OFGB33437|f__FGB33437|g__GGB94397	2|201174||||	7.04276	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaeraceae|g__GGB53664	2157|651137|1643678|1033996|1033997|	6.25674	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB53670	2157|651137|1643678|1033996||	3.47483	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB87584	2157|651137|1643678|1033996||	3.34519	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified|g__GGB91392	2|1224|28216|||	2.2976	
k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__GGB90375	2|40117|203693|189778|189779|	2.29321	
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB87586	2157|651137|1643678|1033996||	1.91401	
