clade_name	SRR7335_FIJI_metaphlan_output
k__Bacteria	100.0
k__Archaea	0.0
k__Bacteria|p__Firmicutes	21.33985
k__Bacteria|p__Bacteroidetes	55.35342
k__Bacteria|p__Actinobacteria	8.51421
k__Bacteria|p__Proteobacteria	14.79252
k__Bacteria|p__Lentisphaerae	0.0
k__Archaea|p__Euryarchaeota	0.0
k__Bacteria|p__Verrucomicrobia	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0
k__Bacteria|p__Spirochaetes	0.0
k__Archaea|p__Candidatus_Thermoplasmatota	0.0
k__Bacteria|p__Planctomycetes	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	9.42192
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	55.35342
k__Bacteria|p__Firmicutes|c__Negativicutes	8.40367
k__Bacteria|p__Actinobacteria|c__Actinobacteria	5.50718
k__Bacteria|p__Firmicutes|c__Bacilli	2.13793
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	3.00703
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.05158
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae	0.0
k__Bacteria|p__Firmicutes|c__CFGB1340	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	0.0
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.29965
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.37481
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	0.0
k__Bacteria|p__Firmicutes|c__CFGB1218	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.0
k__Bacteria|p__Firmicutes|c__CFGB42691	0.0
k__Bacteria|p__Firmicutes|c__CFGB1298	0.0
k__Bacteria|p__Firmicutes|c__CFGB11737	0.0
k__Bacteria|p__Firmicutes|c__CFGB16911	0.0
k__Bacteria|p__Firmicutes|c__CFGB4614	0.0
k__Bacteria|p__Firmicutes|c__CFGB12277	0.00152
k__Bacteria|p__Actinobacteria|c__CFGB25442	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.56382
k__Bacteria|p__Firmicutes|c__CFGB2950	0.0
k__Bacteria|p__Firmicutes|c__CFGB4621	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia	0.0
k__Bacteria|p__Firmicutes|c__CFGB1798	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	9.03953
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	55.35342
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.3824
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	5.50718
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	3.63587
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	4.21674
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2.84187
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.13793
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Lentisphaeria_unclassified	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	0.0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.16516
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	0.0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia_unclassified	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.29965
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	1.37481
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0.0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	0.0
k__Bacteria|p__Firmicutes|c__CFGB1218|o__OFGB1218	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.0
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691	0.0
k__Bacteria|p__Firmicutes|c__CFGB1298|o__OFGB1298	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.0
k__Bacteria|p__Firmicutes|c__CFGB11737|o__OFGB11737	0.0
k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911	0.0
k__Bacteria|p__Firmicutes|c__CFGB4614|o__OFGB4614	0.0
k__Bacteria|p__Firmicutes|c__CFGB12277|o__OFGB12277	0.00152
k__Bacteria|p__Actinobacteria|c__CFGB25442|o__OFGB25442	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.53651
k__Bacteria|p__Firmicutes|c__CFGB2950|o__OFGB2950	0.0
k__Bacteria|p__Firmicutes|c__CFGB4621|o__OFGB4621	0.0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Pirellulales	0.0
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.05542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	5.5635
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.3824
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	55.0611
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	5.50718
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	3.63587
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	4.21674
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2.79358
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_unclassified|f__Alphaproteobacteria_unclassified	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified|f__Bacilli_unclassified	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.20941
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.46771
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Lentisphaeria_unclassified|f__Lentisphaeria_unclassified	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0.0271
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified	0.28447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.16391
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutales_unclassified	0.0
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340|f__FGB1340	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0.16516
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	0.0
