#mpa_vJan25_CHOCOPhlAnSGB_202503
#/usr/local/bin/metaphlan --nproc 16 --input_type fastq SRR3950465_1.fastq.gz,SRR3950465_2.fastq.gz --bowtie2out SRR3950465_SRR3950465_db1.metaphlan.bowtie2out.txt --bowtie2db mpaDB --index mpa_vJan25_CHOCOPhlAnSGB_202503 --biom SRR3950465_SRR3950465_db1.metaphlan.biom --output_file SRR3950465_SRR3950465_db1.metaphlan_profile.txt
#77356106 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidota	2|976	86.2382	
k__Bacteria|p__Firmicutes	2|1239	11.81977	
k__Bacteria|p__Pseudomonadota	2|1224	1.71144	
k__Bacteria|p__Lentisphaerota	2|256845	0.14386	
k__Bacteria|p__Actinomycetota	2|201174	0.04264	
k__Bacteria|p__Thermodesulfobacteriota	2|200940	0.04182	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00201	
k__Bacteria|p__Campylobacterota	2|29547	0.00028	
k__Bacteria|p__Bacteroidota|c__Bacteroidia	2|976|200643	86.23714	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.94578	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.22175	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	1.64409	
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.24849	
k__Bacteria|p__Lentisphaerota|c__CFGB2378	2|256845|	0.14386	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.09964	
k__Bacteria|p__Firmicutes|c__CFGB94588	2|1239|	0.0934	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.09324	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.06735	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	2|200940|3031449	0.04182	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.03881	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	0.02274	
k__Bacteria|p__Firmicutes|c__CFGB2837	2|1239|	0.02109	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	2|201174|84998	0.0199	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.01036	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.01012	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.00699	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.00682	
k__Bacteria|p__Firmicutes|c__CFGB4623	2|1239|	0.0051	
k__Bacteria|p__Firmicutes|c__CFGB2997	2|1239|	0.00296	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.00286	
k__Bacteria|p__Firmicutes|c__CFGB1765	2|1239|	0.00283	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00257	
k__Bacteria|p__Firmicutes|c__CFGB1218	2|1239|	0.00219	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.00201	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.00171	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.00122	
k__Bacteria|p__Bacteroidota|c__CFGB658	2|976|	0.00106	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.00075	
k__Bacteria|p__Firmicutes|c__CFGB94833	2|1239|	0.00038	
k__Bacteria|p__Firmicutes|c__CFGB77220	2|1239|	0.00037	
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00034	
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	2|29547|3031852	0.00028	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	86.23714	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	2|1239|186801|3085636	4.16623	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	2.26935	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.24862	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	1.94259	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.64409	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales	2|1239|186801|3082720	0.51019	
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.24849	
k__Bacteria|p__Lentisphaerota|c__CFGB2378|o__OFGB2378	2|256845||	0.14386	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.09964	
k__Bacteria|p__Firmicutes|c__CFGB94588|o__OFGB94588	2|1239||	0.0934	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.09324	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.04212	
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	2|200940|3031449|213115	0.04182	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.03881	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.03054	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.02523	
k__Bacteria|p__Firmicutes|c__CFGB2837|o__OFGB2837	2|1239||	0.02109	
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.0199	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales	2|201174|1760|85004	0.01784	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.01036	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.01012	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.00699	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.00682	
k__Bacteria|p__Firmicutes|c__CFGB4623|o__OFGB4623	2|1239||	0.0051	
