clade_name	SRR3950465_SRR3950465_db1.metaphlan	SRR3950469_SRR3950469_db1.metaphlan	SRR3950473_SRR3950473_db1.metaphlan	SRR3950478_SRR3950478_db1.metaphlan	SRR3950483_SRR3950483_db1.metaphlan	SRR3950487_SRR3950487_db1.metaphlan
k__Bacteria	100.0	100.0	100.0	99.99879	99.96455	99.95089
k__Archaea	0.0	0.0	0.0	0.0	0.03545	0.01442
k__Eukaryota	0.0	0.0	0.0	0.00121	0.0	0.03469
k__Bacteria|p__Elusimicrobiota	0.0	0.0	0.0	0.0	0.0	0.14077
k__Bacteria|p__Verrucomicrobiota	0.0	0.0	0.0	0.0	0.0	0.06705
k__Bacteria|p__Chloroflexota	0.0	0.0	0.0	0.0	0.0	0.04229
k__Eukaryota|p__Eukaryota_unclassified	0.0	0.0	0.0	0.0	0.0	0.03469
k__Bacteria|p__Bacteroidota	86.2382	83.90379	84.73056	80.88745	55.21133	53.3463
k__Archaea|p__Methanobacteriota	0.0	0.0	0.0	0.0	0.03545	0.01442
k__Bacteria|p__Fusobacteriota	0.0	0.0	0.0	0.02224	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria	0.0	0.0	0.0	0.0015	0.0	0.43291
k__Eukaryota|p__Fornicata	0.0	0.0	0.0	0.00121	0.0	0.0
k__Bacteria|p__Mycoplasmatota	0.0	0.0	0.0	0.00014	0.00712	1.9563
k__Bacteria|p__Firmicutes	11.81977	15.16054	14.35635	17.44011	41.25534	39.01358
k__Bacteria|p__Pseudomonadota	1.71144	0.64985	0.64118	1.04495	0.5961	1.04735
k__Bacteria|p__Lentisphaerota	0.14386	0.0	0.0	0.0	0.0	0.51918
k__Bacteria|p__Actinomycetota	0.04264	0.28581	0.2719	0.59497	0.85532	0.64677
k__Bacteria|p__Thermodesulfobacteriota	0.04182	0.0	0.0	0.0	0.10151	0.12141
k__Bacteria|p__Candidatus_Melainabacteria	0.00201	0.0	0.0	0.0	1.93783	2.617
k__Bacteria|p__Campylobacterota	0.00028	0.0	0.0	0.00743	0.0	0.0
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia	0.04182	0.0	0.0	0.0	0.10151	0.12141
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.06735	0.11257	0.10602	0.3675	0.11014	0.06838
k__Bacteria|p__Firmicutes|c__CFGB3054	0.09324	0.07523	0.06606	0.08389	2.19359	0.53725
k__Bacteria|p__Firmicutes|c__CFGB94588	0.0934	0.45835	0.55722	0.40717	0.0	0.1603
k__Bacteria|p__Firmicutes|c__Bacilli	0.09964	0.22087	0.23648	0.61487	0.02592	0.11013
k__Bacteria|p__Lentisphaerota|c__CFGB2378	0.14386	0.0	0.0	0.0	0.0	0.51313
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria	0.00028	0.0	0.0	0.00743	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2881	0.00034	0.0	0.0	0.0	0.03607	0.00438
k__Bacteria|p__Firmicutes|c__CFGB77220	0.00037	0.0	0.0	0.0	0.00917	0.08412
k__Bacteria|p__Firmicutes|c__CFGB94833	0.00038	0.0	0.0	0.0	0.0	0.00473
k__Bacteria|p__Firmicutes|c__CFGB1354	0.00075	0.00519	0.00828	0.00659	2.49703	0.5349
k__Bacteria|p__Bacteroidota|c__CFGB658	0.00106	0.00124	0.0	0.00149	4.96233	2.13077
k__Bacteria|p__Firmicutes|c__CFGB1292	0.00122	0.0	0.0	0.0	0.00903	0.0
k__Bacteria|p__Firmicutes|c__CFGB4605	0.00171	0.00527	0.00518	0.00381	0.00487	0.02209
k__Bacteria|p__Firmicutes|c__CFGB2834	0.03881	0.0	0.0	0.0	0.09228	0.66898
k__Bacteria|p__Mycoplasmatota|c__CFGB1789	0.0	0.0	0.0	0.0	0.00237	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486	0.0	0.0	0.0	0.0	0.00267	0.00869
k__Bacteria|p__Firmicutes|c__CFGB1311	0.0	0.0	0.0	0.0	0.00288	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503	0.0	0.0	0.0	0.0	0.00353	0.00588
k__Bacteria|p__Firmicutes|c__CFGB1474	0.0	0.0	0.0	0.0	0.00388	0.0
k__Bacteria|p__Mycoplasmatota|c__CFGB1800	0.0	0.0	0.0	0.0	0.00475	0.0
k__Bacteria|p__Firmicutes|c__CFGB78465	0.0	0.0	0.0	0.0	0.00485	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.0	0.0	0.0	0.0	0.0049	0.0002
k__Bacteria|p__Firmicutes|c__CFGB38642	0.0	0.0	0.0	0.0	0.01283	0.01189
k__Bacteria|p__Firmicutes|c__CFGB2936	0.0	0.0	0.0	0.0	0.01571	0.14197
k__Bacteria|p__Firmicutes|c__CFGB79291	0.0	0.0	0.0	0.0	0.02269	0.00041
k__Bacteria|p__Firmicutes|c__CFGB1776	0.0	0.0	0.0	0.0	0.02699	0.36585
k__Bacteria|p__Firmicutes|c__CFGB9977	0.0	0.0	0.0	0.0	0.02878	0.27462
k__Bacteria|p__Firmicutes|c__CFGB4617	0.0	0.0	0.0	0.0	0.03183	0.14988
k__Bacteria|p__Firmicutes|c__CFGB3040	0.0	0.0	0.0	0.0	0.03371	0.00318
k__Bacteria|p__Firmicutes|c__CFGB8140	0.0	0.0	0.0	0.0	0.03382	0.00847
k__Bacteria|p__Firmicutes|c__CFGB78291	0.0	0.0	0.0	0.0	0.07858	0.00333
k__Bacteria|p__Firmicutes|c__CFGB72899	0.0	0.0	0.0	0.0	0.08039	0.0
k__Bacteria|p__Firmicutes|c__CFGB1479	0.0	0.0	0.0	0.0	0.08467	0.00559
k__Bacteria|p__Firmicutes|c__CFGB3026	0.0	0.0	0.0	0.0	0.127	0.22697
k__Bacteria|p__Firmicutes|c__CFGB3038	0.0	0.0	0.0	0.0	0.00528	0.0
k__Bacteria|p__Firmicutes|c__CFGB88483	0.0	0.0	0.0	0.0	0.00558	0.02969
k__Bacteria|p__Firmicutes|c__CFGB10021	0.0	0.0	0.0	0.0	0.00644	0.11132
k__Bacteria|p__Bacteroidota|c__CFGB4405	0.0	0.0	0.0	0.0	1.28986	0.4224
k__Bacteria|p__Firmicutes|c__CFGB10325	0.0	0.0	0.0	0.0	0.04567	0.0
k__Bacteria|p__Firmicutes|c__CFGB2949	0.0	0.0	0.0	0.0	0.04952	0.03123
k__Bacteria|p__Firmicutes|c__CFGB1298	0.0	0.0	0.0	0.0	0.06236	0.05731
k__Bacteria|p__Firmicutes|c__CFGB2942	0.0	0.0	0.0	0.0	0.07047	0.37425
k__Bacteria|p__Firmicutes|c__CFGB84123	0.0	0.0	0.0	0.0	0.07198	0.22239
k__Archaea|p__Methanobacteriota|c__Methanobacteria	0.0	0.0	0.0	0.0	0.03545	0.01442
k__Bacteria|p__Firmicutes|c__CFGB2984	0.0	0.0	0.0	0.0	0.03758	0.01993
k__Bacteria|p__Pseudomonadota|c__CFGB1061	0.0	0.0	0.0	0.0	0.03941	0.0
k__Bacteria|p__Firmicutes|c__CFGB59449	0.0	0.0	0.0	0.0	5e-05	0.00313
k__Bacteria|p__Firmicutes|c__CFGB78785	0.0	0.0	0.0	0.0	0.00011	0.0
k__Bacteria|p__Firmicutes|c__CFGB79270	0.0	0.0	0.0	0.0	0.00045	0.02407
k__Bacteria|p__Firmicutes|c__CFGB31455	0.0	0.0	0.0	0.0	0.00072	0.32068
k__Bacteria|p__Firmicutes|c__CFGB2960	0.0	0.0	0.0	0.0	0.00108	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB2401	0.0	0.0	0.0	0.0	0.2166	0.0
k__Bacteria|p__Firmicutes|c__CFGB2982	0.0	0.0	0.0	0.0	0.37673	0.07771
k__Bacteria|p__Firmicutes|c__CFGB81848	0.0	0.0	0.0	0.0	0.49274	0.08948
k__Bacteria|p__Firmicutes|c__CFGB72924	0.0	0.0	0.0	0.0	0.62103	0.15826
k__Bacteria|p__Bacteroidota|c__CFGB529	0.0	0.0	0.0	0.0	0.70232	0.78728
k__Bacteria|p__Firmicutes|c__CFGB2840	0.0	0.01404	0.01405	0.01248	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79315	0.0	0.00076	0.0	0.00083	0.56605	0.02251
k__Bacteria|p__Firmicutes|c__CFGB32970	0.0	0.00238	0.00148	0.00204	0.0381	0.01695
k__Bacteria|p__Firmicutes|c__CFGB1780	0.0	0.0	0.0	0.0	0.00649	0.0
k__Bacteria|p__Firmicutes|c__CFGB94728	0.0	0.0	0.0	0.0	0.00839	0.04141
k__Bacteria|p__Firmicutes|c__CFGB3023	0.0	0.0	0.0	0.0	0.00934	0.02499
k__Bacteria|p__Firmicutes|c__CFGB94730	0.0	0.0	0.0	0.0	0.0098	0.01744
k__Bacteria|p__Firmicutes|c__CFGB73185	0.0	0.0	0.0	0.0	0.01214	0.0155
k__Bacteria|p__Firmicutes|c__CFGB4623	0.0051	0.0	0.0	0.0	0.00291	0.00343
k__Bacteria|p__Firmicutes|c__Negativicutes	4.22175	11.12428	10.37849	9.96207	6.45624	9.55053
k__Bacteria|p__Firmicutes|c__Clostridia	6.94578	2.85963	2.667	5.46642	24.73956	16.76595
k__Bacteria|p__Bacteroidota|c__Bacteroidia	86.23714	83.90236	84.73056	80.81715	44.45115	49.97346
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	0.0	7e-05	0.0	0.0	0.1167	0.11989
k__Bacteria|p__Bacteroidota|c__CFGB629	0.0	0.00019	0.0	0.06882	3.80568	0.0
k__Bacteria|p__Firmicutes|c__CFGB73902	0.0	0.00063	0.00052	0.00068	0.0	0.01573
k__Bacteria|p__Firmicutes|c__CFGB2932	0.0	0.0	0.0	0.0	0.13086	0.02845
k__Bacteria|p__Firmicutes|c__CFGB1218	0.00219	0.00304	0.00338	0.0043	0.03231	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.00257	0.0	0.0	0.0	0.0	0.00027
k__Bacteria|p__Firmicutes|c__CFGB1347	0.0	0.0	0.0	0.0	0.0	0.00157
k__Bacteria|p__Firmicutes|c__CFGB83270	0.0	0.0	0.0	0.0	0.0	0.00184
k__Bacteria|p__Firmicutes|c__CFGB1201	0.0	0.0	0.0	0.0	0.0	0.0019
k__Bacteria|p__Firmicutes|c__CFGB78307	0.0	0.0	0.0	0.0	0.0	0.00205
k__Bacteria|p__Firmicutes|c__CFGB72728	0.0	0.0	0.0	0.0	0.0	0.00258
k__Bacteria|p__Firmicutes|c__CFGB2921	0.0	0.0	0.0	0.0	0.0	0.00395
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria	0.0	0.0	0.0	0.0	0.0	0.00605
k__Bacteria|p__Firmicutes|c__CFGB78699	0.0	0.0	0.0	0.0	0.0	0.0071
k__Bacteria|p__Firmicutes|c__CFGB94770	0.0	0.0056	0.0031	0.00483	0.0227	0.03086
k__Bacteria|p__Firmicutes|c__CFGB9120	0.0	0.00596	0.00637	0.00514	0.05003	0.03218
k__Bacteria|p__Firmicutes|c__CFGB6280	0.0	0.0	0.0	0.0	0.0	0.02024
k__Bacteria|p__Firmicutes|c__CFGB2930	0.0	0.0	0.0	0.0	0.0	0.02024
k__Bacteria|p__Firmicutes|c__CFGB94688	0.0	0.0	0.0	0.0	0.0	0.02316
k__Bacteria|p__Firmicutes|c__CFGB2923	0.0	0.0	0.0	0.0	0.0	0.02443
k__Bacteria|p__Firmicutes|c__CFGB32310	0.0	0.0	0.0	0.0	0.0	0.02464
k__Bacteria|p__Bacteroidota|c__CFGB671	0.0	0.0	0.0	0.0	0.0	0.03239
k__Bacteria|p__Firmicutes|c__CFGB73223	0.0	0.0	0.0	0.0	0.0	0.03262
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	0.0	0.0	0.0	0.0	0.0	0.03469
k__Bacteria|p__Firmicutes|c__CFGB52309	0.0	0.0	0.0	0.0	0.0	0.00157
k__Bacteria|p__Firmicutes|c__CFGB1765	0.00283	0.13449	0.14951	0.12739	0.413	0.9187
k__Bacteria|p__Firmicutes|c__CFGB73062	0.00286	0.0	0.0	0.0	0.02543	0.75468
k__Bacteria|p__Firmicutes|c__CFGB2997	0.00296	0.0	0.0	0.0	0.02128	0.27428
k__Bacteria|p__Mycoplasmatota|c__CFGB1630	0.0	0.0	0.0	0.00014	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1473	0.0	0.0	0.0	0.00049	0.0	0.00056
k__Eukaryota|p__Fornicata|c__Fornicata_unclassified	0.0	0.0	0.0	0.00121	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	0.0	0.0	0.0	0.0015	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1527	0.0	0.0	0.0	0.01982	0.01269	0.0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia	0.0	0.0	0.0	0.02224	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9345	0.0	0.0	0.0	0.0	0.0	0.11471
k__Bacteria|p__Firmicutes|c__CFGB10309	0.0	0.0	0.0	0.0	0.0	0.11481
k__Bacteria|p__Firmicutes|c__CFGB1763	0.0	0.0	0.0	0.0	0.0	0.12881
k__Bacteria|p__Firmicutes|c__CFGB10318	0.0	0.0	0.0	0.0	0.0	0.1312
k__Bacteria|p__Firmicutes|c__CFGB2889	0.0	0.0	0.0	0.0	0.0	0.13561
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.14077
k__Bacteria|p__Pseudomonadota|c__CFGB2394	0.0	0.0	0.0	0.0	0.0	0.14595
k__Bacteria|p__Firmicutes|c__CFGB8294	0.0	0.0	0.0	0.0	0.0	0.19217
k__Bacteria|p__Firmicutes|c__CFGB30328	0.0	0.0	0.0	0.0	0.0	0.01536
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	0.0	0.0	0.0	0.0	0.0	0.43291
k__Bacteria|p__Firmicutes|c__CFGB51794	0.0	0.0	0.0	0.0	0.0	0.4466
k__Bacteria|p__Firmicutes|c__CFGB1777	0.0	0.0	0.0	0.0	0.0	0.76601
k__Bacteria|p__Mycoplasmatota|c__CFGB4690	0.0	0.0	0.0	0.0	0.0	1.9563
k__Bacteria|p__Firmicutes|c__CFGB8331	0.0	0.0	0.0	0.0	0.0	0.00024
k__Bacteria|p__Firmicutes|c__CFGB72814	0.0	0.0	0.0	0.0	0.0	0.00032
k__Bacteria|p__Firmicutes|c__CFGB1289	0.0	0.0	0.0	0.0	0.0	0.00039
k__Bacteria|p__Firmicutes|c__CFGB3009	0.0	0.0	0.0	0.0	0.0	0.00075
k__Bacteria|p__Firmicutes|c__CFGB1258	0.0	0.0	0.0	0.0	0.0	0.00084
k__Bacteria|p__Firmicutes|c__CFGB10314	0.0	0.0	0.0	0.0	0.0	0.11227
k__Bacteria|p__Firmicutes|c__CFGB9272	0.0	0.0	8e-05	0.0	0.00155	0.016
k__Bacteria|p__Chloroflexota|c__CFGB94700	0.0	0.0	0.0	0.0	0.0	0.04229
k__Bacteria|p__Firmicutes|c__CFGB1779	0.0	0.0	0.0	0.0	0.0	0.04719
k__Bacteria|p__Firmicutes|c__CFGB58251	0.0	0.0	0.0	0.0	0.0	0.0542
k__Bacteria|p__Firmicutes|c__CFGB3070	0.0	0.0	0.0	0.0	0.0	0.06094
k__Bacteria|p__Firmicutes|c__CFGB1374	0.0	0.0	0.0	0.0	0.0	0.00742
k__Bacteria|p__Firmicutes|c__CFGB4621	0.0	0.0	0.0	0.0	0.0	0.00825
k__Bacteria|p__Firmicutes|c__CFGB9119	0.0	0.0	0.0	0.0	0.0	0.00926
k__Bacteria|p__Firmicutes|c__CFGB1778	0.0	0.0	0.0	0.0	0.0	0.01012
k__Bacteria|p__Firmicutes|c__CFGB51793	0.0	0.0	0.0	0.0	0.0	0.01156
k__Bacteria|p__Firmicutes|c__CFGB79152	0.0	0.0	0.0	0.0	0.0	0.01182
k__Bacteria|p__Firmicutes|c__CFGB58291	0.0	0.0	0.0	0.0	0.0	0.01244
k__Bacteria|p__Firmicutes|c__CFGB84772	0.0	0.0	0.0	0.0	0.0	0.33361
k__Bacteria|p__Verrucomicrobiota|c__Opitutia	0.0	0.0	0.0	0.0	0.0	0.06705
