#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR3950474_SRR3950474_db1.metaphlan	SRR3950479_SRR3950479_db1.metaphlan	SRR3950484_SRR3950484_db1.metaphlan	SRR3950488_SRR3950488_db1.metaphlan
k__Bacteria	100.0	99.98341	100.0	100.0
k__Eukaryota	0.0	0.01659	0.0	0.0
k__Bacteria|p__Firmicutes	28.43091	32.79054	15.09155	32.91695
k__Bacteria|p__Bacteroidota	69.51163	50.81146	82.91232	62.0932
k__Bacteria|p__Actinomycetota	0.76082	0.0465	0.92343	0.19036
k__Bacteria|p__Thermodesulfobacteriota	0.03821	0.02423	0.0	0.0
k__Bacteria|p__Spirochaetota	0.0	0.85904	0.0	0.0
k__Bacteria|p__Pseudomonadota	1.24991	0.48305	1.07161	4.79949
k__Bacteria|p__Lentisphaerota	0.0	0.3473	0.0	0.0
k__Eukaryota|p__Eukaryota_unclassified	0.0	0.01659	0.0	0.0
k__Bacteria|p__Chloroflexota	0.0	0.08363	0.0	0.0
k__Bacteria|p__Verrucomicrobiota	0.0	0.39468	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	10.57324	0.0	0.0
k__Bacteria|p__Mycoplasmatota	0.0	0.19658	0.0	0.0
k__Bacteria|p__Campylobacterota	0.0	2.99501	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria	0.00245	0.37815	0.00109	0.0
k__Bacteria|p__Synergistota	0.00607	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.00328	0.0	0.0	0.0239
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	0.00245	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	0.0	0.0	0.00109	0.0
k__Bacteria|p__Actinomycetota|c__CFGB12107	0.0	0.0	0.00046	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658	0.0	1.51873	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78785	0.00216	0.0	0.0	0.0
k__Bacteria|p__Spirochaetota|c__Spirochaetia	0.0	0.85904	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB81848	0.0	0.72987	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047	0.01223	0.0	0.0	0.00455
k__Bacteria|p__Firmicutes|c__CFGB1292	0.01171	0.0	0.0	0.00421
k__Bacteria|p__Firmicutes|c__CFGB1359	0.00949	0.38015	0.0	0.08942
k__Bacteria|p__Synergistota|c__Synergistia	0.00607	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB8179	0.00336	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB73062	0.0	1.26444	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1218	0.01247	0.01333	0.0	0.01158
k__Bacteria|p__Firmicutes|c__CFGB4605	0.0	0.0	0.0	0.02622
k__Bacteria|p__Firmicutes|c__CFGB2881	0.0	0.0	0.0	0.03769
k__Bacteria|p__Firmicutes|c__CFGB4648	0.0	0.51004	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1777	0.0	0.5132	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765	0.0	0.53357	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2942	0.0	0.63073	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2837	0.0	0.64953	0.0	0.06656
k__Bacteria|p__Firmicutes|c__CFGB2924	0.0	0.3773	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2840	0.0	0.31862	0.0	0.00138
k__Bacteria|p__Firmicutes|c__CFGB1763	0.0	0.33182	0.0	0.0
k__Bacteria|p__Lentisphaerota|c__CFGB2378	0.0	0.33821	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1355	0.0	0.30541	0.0	0.0
k__Bacteria|p__Mycoplasmatota|c__CFGB94683	0.0	0.19049	0.0	0.0
